
Case ID, Description, Status, Impact, Assigned Group, Assigned Individual, Age, Create Date
"0139179213","Case ID:4253322302|Seller ID:11189305212","Pending Pending Info - 3 Day Auto Re-assign","3","Sponsored Products EU","thusha","0","2018-01-31 04:36:38AM GMT-0800"
"0139174414","HSA Issue ","Pending Pending Info - 3 Day Auto Re-assign","5","Sponsored Products EU","vivkr","0","2018-01-31 03:43:16AM GMT-0800"
"0139163482","Seller store always rejected  Case ID:4251284612 | Seller ID:10059152825","Pending Requester Info - Re-assign Correspondence","5","Sponsored Products EU","SP-EU-business-oncall","0","2018-01-31 02:28:30AM GMT-0800"
"0139159669","*911* Seller 911 Contact Seller can't select brand in campaign HSA - Case ID:4234333432","Pending Pending Info - 3 Day Auto Re-assign","5","Sponsored Products EU","vivkr","0","2018-01-31 01:39:15AM GMT-0800"
"0139156088","[Amazon Stores for Sellers] Seller brand entity has ""No products listed"" due to missing node","Pending Pending Info - 3 Day Auto Re-assign","4","Sponsored Products EU","vivkr","0","2018-01-31 01:15:51AM GMT-0800"
"0139156111","TAM-SP-Case Assist <--Do Not Edit 4233848352","Pending Pending Info - 3 Day Auto Re-assign","3","Sponsored Products EU","vivkr","0","2018-01-31 12:42:00AM GMT-0800"
"0139145888","[WhereIsMyAd] investigation request case 4234327422","Pending Requester Info - 7 Day Auto Resolve","4","Sponsored Products EU","vivkr","1","2018-01-30 11:35:30PM GMT-0800"
"0139054784","Brand Registry Stores and HSA --> *Do Not Edit* [Case ID: 4251153312]","Pending Pending Info - 3 Day Auto Re-assign","5","Sponsored Products EU","thusha","1","2018-01-30 06:15:44AM GMT-0800"
"0139051008","*911* Seller 911 Contact HSA - Brand not available for selection when Creating Ad  / UK3  / Case ID 4250132802","Pending Pending Info - 3 Day Auto Re-assign","3","Sponsored Products EU","vivkr","1","2018-01-30 05:02:32AM GMT-0800"
"0139043655","*911* Seller 911 Contact HSA - Brand not available for selection when Creating Ad  / UK3  / Case ID 4249939162","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","1","2018-01-30 04:01:37AM GMT-0800"
"0139038719","[Amazon Stores for Sellers] Seller brand entity has ""No products listed"" Case ID:4244279042|Seller ID:14772957112","Pending Pending Info - 3 Day Auto Re-assign","4","Sponsored Products EU","vivkr","1","2018-01-30 02:52:52AM GMT-0800"
"0139022651"," Case ID:4225769282|Seller ID:12490035035","Pending Pending Info - 3 Day Auto Re-assign","5","Sponsored Products EU","vivkr","1","2018-01-30 12:34:06AM GMT-0800"
"0138917287","Brand not appearing for HSA","Pending Pending Info - 3 Day Auto Re-assign","3","Sponsored Products EU","vivkr","2","2018-01-29 04:30:28AM GMT-0800"
"0138899914","[Amazon Stores for Sellers] Seller brand entity has ""No products listed"" due to missing node","Pending Pending Info - 3 Day Auto Re-assign","4","Sponsored Products EU","vivkr","2","2018-01-29 12:52:59AM GMT-0800"
"0138891792","*911* Seller 911 Contact seller unable to add several asins to his campagne","Pending Requester Info - 3 Day Auto Resolve","3","Sponsored Products EU","SP-EU-business-oncall","2","2018-01-29 12:11:17AM GMT-0800"
"0138830113","Case ID:4246643522  Seller ID:17988125625 Case ID:4246643522","Pending Requester Info - 7 Day Auto Resolve","3","Sponsored Products EU","vivkr","3","2018-01-28 01:40:58AM GMT-0800"
"0138827910","TAM-SP-Case Assist <--Do Not Edit  911!!!  Case ID:4123845122|Seller ID:20339203225","Pending Pending Info - 3 Day Auto Re-assign","3","Sponsored Products EU","SP-EU-business-oncall","3","2018-01-28 12:38:19AM GMT-0800"
"0138776564","TAM-SP-Case Assist  4220031272 <--Do Not Edit ","Pending Requester Info - Re-assign Correspondence","3","Sponsored Products EU","SP-EU-business-oncall","4","2018-01-27 04:06:18AM GMT-0800"
"0138764344","*911* Seller 911 Contact advertising concern ","Pending Requester Info - 7 Day Auto Resolve","3","Sponsored Products EU","SP-EU-business-oncall","5","2018-01-26 11:36:30PM GMT-0800"
"0138690605","*911* Seller 911 Contact Please check Sellers sponsored products","Pending Requester Info - 7 Day Auto Resolve","3","Sponsored Products EU","SP-EU-business-oncall","5","2018-01-26 04:53:39AM GMT-0800"
"0138670313","TAM-SP-Case Assist <--Do Not Edit  Case ID:4235889782|Seller ID:15487484925","Pending Pending Info - 3 Day Auto Re-assign","4","Sponsored Products EU","SP-EU-business-oncall","5","2018-01-26 12:26:38AM GMT-0800"
"0138670502"," Case ID:4243999962|Seller ID:13471795712","Pending Requester Info - 7 Day Auto Resolve","3","Sponsored Products EU","SP-EU-business-oncall","5","2018-01-26 12:21:50AM GMT-0800"
"0138662659","[Amazon Stores for Sellers] Seller brand entity has ""No products listed""   Case ID:4219058652|Seller ID:14335637112","Pending Pending Info - 3 Day Auto Re-assign","4","Sponsored Products EU","SP-EU-business-oncall","6","2018-01-25 11:02:01PM GMT-0800"
"0138490521","Brand Registry Stores and HSA --> *Do Not Edit* [Case ID] Case ID:4213797742|Seller ID:15197525112","Pending Pending Info - 3 Day Auto Re-assign","3","Sponsored Products EU","aggrajat","7","2018-01-24 11:56:16AM GMT-0800"
"0138443004","Seller can't view campaign data as primary account holder","Pending Requester Info - 7 Day Auto Resolve","3","Sponsored Products EU","SP-EU-business-oncall","7","2018-01-24 03:58:44AM GMT-0800"
